index | info | parent | right sibling
   1  |  program   |    0   |      0
   2  |  var   |    1   |      0
   3  |  declist   |    1   |      2
   4  |  ;   |    1   |      3
   5  |  cmpdstmt   |    1   |      4
   6  |  .   |    1   |      5
   7  |  declaration   |    3   |      0
   8  |  ;   |    3   |      7
   9  |  declist   |    3   |      8
   10  |  type   |    3   |      0
   11  |  identifier   |    3   |      10
   12  |  type1   |    3   |      0
   13  |  int   |    3   |      0
   14  |  declaration   |    7   |      0
   15  |  ;   |    7   |      14
   16  |  declist   |    7   |      15
   17  |  type   |    7   |      0
   18  |  identifier   |    7   |      17
   19  |  type1   |    7   |      0
   20  |  int   |    7   |      0
   21  |  declaration   |    10   |      0
   22  |  ;   |    10   |      21
   23  |  declist   |    10   |      22
   24  |  type   |    10   |      0
   25  |  identifier   |    10   |      24
   26  |  type1   |    10   |      0
   27  |  int   |    10   |      0
   28  |  declaration   |    14   |      0
   29  |  type   |    14   |      0
   30  |  identifier   |    14   |      29
   31  |  type1   |    14   |      0
   32  |  int   |    14   |      0
   33  |  start   |    17   |      0
   34  |  stmtlist   |    17   |      33
   35  |  finish   |    17   |      34
   36  |  stmt   |    19   |      0
   37  |  stmtlist   |    19   |      36
   38  |  simplstmt   |    19   |      0
   39  |  ;   |    19   |      38
   40  |  iostmt   |    19   |      0
   41  |  read   |    19   |      0
   42  |  identifier   |    19   |      41
   43  |  stmt   |    23   |      0
   44  |  stmtlist   |    23   |      43
   45  |  simplstmt   |    23   |      0
   46  |  ;   |    23   |      45
   47  |  assignstmt   |    23   |      0
   48  |  identifier   |    23   |      0
   49  |  <-   |    23   |      48
   50  |  expression   |    23   |      49
   51  |  term   |    26   |      0
   52  |  factor   |    26   |      0
   53  |  constint   |    26   |      0
   54  |  stmt   |    28   |      0
   55  |  stmtlist   |    28   |      54
   56  |  simplstmt   |    28   |      0
   57  |  ;   |    28   |      56
   58  |  assignstmt   |    28   |      0
   59  |  identifier   |    28   |      0
   60  |  <-   |    28   |      59
   61  |  expression   |    28   |      60
   62  |  term   |    31   |      0
   63  |  factor   |    31   |      0
   64  |  constint   |    31   |      0
   65  |  stmt   |    34   |      0
   66  |  stmtlist   |    34   |      65
   67  |  structstmt   |    34   |      0
   68  |  whilestmt   |    34   |      0
   69  |  while   |    34   |      0
   70  |  condition   |    34   |      69
   71  |  run   |    34   |      70
   72  |  stmt   |    34   |      71
   73  |  expression   |    36   |      0
   74  |  RELATION   |    36   |      73
   75  |  expression   |    36   |      0
   76  |  term   |    36   |      0
   77  |  factor   |    36   |      0
   78  |  identifier   |    36   |      0
   79  |  <   |    37   |      0
   80  |  term   |    38   |      0
   81  |  factor   |    38   |      0
   82  |  identifier   |    38   |      0
   83  |  structstmt   |    40   |      0
   84  |  cmpdstmt   |    40   |      0
   85  |  start   |    40   |      0
   86  |  stmtlist   |    40   |      85
   87  |  finish   |    40   |      86
   88  |  stmt   |    43   |      0
   89  |  stmtlist   |    43   |      88
   90  |  simplstmt   |    43   |      0
   91  |  ;   |    43   |      90
   92  |  iostmt   |    43   |      0
   93  |  read   |    43   |      0
   94  |  identifier   |    43   |      93
   95  |  stmt   |    47   |      0
   96  |  stmtlist   |    47   |      95
   97  |  simplstmt   |    47   |      0
   98  |  ;   |    47   |      97
   99  |  assignstmt   |    47   |      0
   100  |  identifier   |    47   |      0
   101  |  <-   |    47   |      100
   102  |  expression   |    47   |      101
   103  |  term   |    50   |      0
   104  |  +   |    50   |      103
   105  |  expression   |    50   |      104
   106  |  factor   |    50   |      0
   107  |  identifier   |    50   |      0
   108  |  term   |    52   |      0
   109  |  factor   |    52   |      0
   110  |  identifier   |    52   |      0
   111  |  stmt   |    54   |      0
   112  |  simplstmt   |    54   |      0
   113  |  ;   |    54   |      112
   114  |  assignstmt   |    54   |      0
   115  |  identifier   |    54   |      0
   116  |  <-   |    54   |      115
   117  |  expression   |    54   |      116
   118  |  term   |    56   |      0
   119  |  +   |    56   |      118
   120  |  expression   |    56   |      119
   121  |  factor   |    56   |      0
   122  |  identifier   |    56   |      0
   123  |  term   |    58   |      0
   124  |  factor   |    58   |      0
   125  |  constint   |    58   |      0
   126  |  stmt   |    61   |      0
   127  |  simplstmt   |    61   |      0
   128  |  ;   |    61   |      127
   129  |  iostmt   |    61   |      0
   130  |  write   |    61   |      0
   131  |  identifier   |    61   |      130
